run_id,domain,task,seed,avg3,final
antmaze-giant-navigate__task1__sd0,antmaze-giant-navigate,task1,sd0,0.20000000000000004,0.22
antmaze-giant-navigate__task1__sd1,antmaze-giant-navigate,task1,sd1,0.13999999999999999,0.12
antmaze-giant-navigate__task1__sd2,antmaze-giant-navigate,task1,sd2,0.013333333333333334,0.02
antmaze-giant-navigate__task1__sd3,antmaze-giant-navigate,task1,sd3,0.013333333333333334,0.04
antmaze-giant-navigate__task1__sd4,antmaze-giant-navigate,task1,sd4,0.006666666666666667,0.02
antmaze-giant-navigate__task1__sd5,antmaze-giant-navigate,task1,sd5,0.21333333333333335,0.3
antmaze-giant-navigate__task1__sd6,antmaze-giant-navigate,task1,sd6,0.03333333333333333,0.1
antmaze-giant-navigate__task1__sd7,antmaze-giant-navigate,task1,sd7,0.08666666666666667,0.08
antmaze-giant-navigate__task2__sd0,antmaze-giant-navigate,task2,sd0,0.47333333333333333,0.66
antmaze-giant-navigate__task2__sd1,antmaze-giant-navigate,task2,sd1,0.5333333333333333,0.48
antmaze-giant-navigate__task2__sd2,antmaze-giant-navigate,task2,sd2,0.5466666666666667,0.62
antmaze-giant-navigate__task2__sd3,antmaze-giant-navigate,task2,sd3,0.6333333333333333,0.8
antmaze-giant-navigate__task2__sd4,antmaze-giant-navigate,task2,sd4,0.4466666666666666,0.58
antmaze-giant-navigate__task2__sd5,antmaze-giant-navigate,task2,sd5,0.25333333333333335,0.24
antmaze-giant-navigate__task2__sd6,antmaze-giant-navigate,task2,sd6,0.3,0.36
antmaze-giant-navigate__task2__sd7,antmaze-giant-navigate,task2,sd7,0.44,0.5
antmaze-giant-navigate__task3__sd0,antmaze-giant-navigate,task3,sd0,0.21333333333333335,0.3
antmaze-giant-navigate__task3__sd1,antmaze-giant-navigate,task3,sd1,0.5,0.36
antmaze-giant-navigate__task3__sd2,antmaze-giant-navigate,task3,sd2,0.4066666666666667,0.42
antmaze-giant-navigate__task3__sd3,antmaze-giant-navigate,task3,sd3,0.34,0.24
antmaze-giant-navigate__task3__sd4,antmaze-giant-navigate,task3,sd4,0.07333333333333333,0.08
antmaze-giant-navigate__task3__sd5,antmaze-giant-navigate,task3,sd5,0.32666666666666666,0.48
antmaze-giant-navigate__task3__sd6,antmaze-giant-navigate,task3,sd6,0.47333333333333333,0.48
antmaze-giant-navigate__task3__sd7,antmaze-giant-navigate,task3,sd7,0.26666666666666666,0.32
antmaze-giant-navigate__task4__sd0,antmaze-giant-navigate,task4,sd0,0.38000000000000006,0.32
antmaze-giant-navigate__task4__sd1,antmaze-giant-navigate,task4,sd1,0.09999999999999999,0.0
antmaze-giant-navigate__task4__sd2,antmaze-giant-navigate,task4,sd2,0.46,0.26
antmaze-giant-navigate__task4__sd3,antmaze-giant-navigate,task4,sd3,0.5466666666666667,0.5
antmaze-giant-navigate__task4__sd4,antmaze-giant-navigate,task4,sd4,0.3466666666666667,0.38
antmaze-giant-navigate__task4__sd5,antmaze-giant-navigate,task4,sd5,0.30666666666666664,0.24
antmaze-large-navigate__task1__sd0,antmaze-large-navigate,task1,sd0,0.7733333333333333,0.86
antmaze-large-navigate__task1__sd1,antmaze-large-navigate,task1,sd1,0.8466666666666667,0.86
antmaze-large-navigate__task1__sd2,antmaze-large-navigate,task1,sd2,0.7733333333333333,0.82
antmaze-large-navigate__task1__sd3,antmaze-large-navigate,task1,sd3,0.82,0.74
antmaze-large-navigate__task1__sd4,antmaze-large-navigate,task1,sd4,0.8466666666666667,0.88
antmaze-large-navigate__task1__sd5,antmaze-large-navigate,task1,sd5,0.84,0.88
antmaze-large-navigate__task1__sd6,antmaze-large-navigate,task1,sd6,0.82,0.78
antmaze-large-navigate__task1__sd7,antmaze-large-navigate,task1,sd7,0.8466666666666667,0.86
antmaze-large-navigate__task2__sd0,antmaze-large-navigate,task2,sd0,0.8266666666666667,0.7
antmaze-large-navigate__task2__sd1,antmaze-large-navigate,task2,sd1,0.8133333333333334,0.72
antmaze-large-navigate__task2__sd2,antmaze-large-navigate,task2,sd2,0.7999999999999999,0.76
antmaze-large-navigate__task2__sd3,antmaze-large-navigate,task2,sd3,0.7466666666666667,0.76
antmaze-large-navigate__task2__sd4,antmaze-large-navigate,task2,sd4,0.8066666666666666,0.8
antmaze-large-navigate__task2__sd5,antmaze-large-navigate,task2,sd5,0.7866666666666667,0.88
antmaze-large-navigate__task2__sd6,antmaze-large-navigate,task2,sd6,0.7266666666666667,0.66
antmaze-large-navigate__task2__sd7,antmaze-large-navigate,task2,sd7,0.8133333333333334,0.86
antmaze-large-navigate__task3__sd0,antmaze-large-navigate,task3,sd0,0.9199999999999999,0.88
antmaze-large-navigate__task3__sd1,antmaze-large-navigate,task3,sd1,0.9466666666666667,1.0
antmaze-large-navigate__task3__sd2,antmaze-large-navigate,task3,sd2,0.94,0.96
antmaze-large-navigate__task3__sd3,antmaze-large-navigate,task3,sd3,0.94,0.92
antmaze-large-navigate__task3__sd4,antmaze-large-navigate,task3,sd4,0.96,0.98
antmaze-large-navigate__task3__sd5,antmaze-large-navigate,task3,sd5,0.9666666666666667,0.94
antmaze-large-navigate__task3__sd6,antmaze-large-navigate,task3,sd6,0.98,1.0
antmaze-large-navigate__task3__sd7,antmaze-large-navigate,task3,sd7,0.9333333333333332,0.9
antmaze-large-navigate__task4__sd0,antmaze-large-navigate,task4,sd0,0.8733333333333334,0.88
antmaze-large-navigate__task4__sd1,antmaze-large-navigate,task4,sd1,0.8066666666666666,0.84
antmaze-large-navigate__task4__sd2,antmaze-large-navigate,task4,sd2,0.7999999999999999,0.8
antmaze-large-navigate__task4__sd3,antmaze-large-navigate,task4,sd3,0.7999999999999999,0.8
antmaze-large-navigate__task4__sd4,antmaze-large-navigate,task4,sd4,0.8733333333333334,0.82
antmaze-large-navigate__task4__sd5,antmaze-large-navigate,task4,sd5,0.8466666666666667,0.84
cube-double-play__task1__sd0,cube-double-play,task1,sd0,0.5266666666666667,0.52
cube-double-play__task1__sd1,cube-double-play,task1,sd1,0.4266666666666667,0.52
cube-double-play__task1__sd2,cube-double-play,task1,sd2,0.52,0.52
cube-double-play__task1__sd3,cube-double-play,task1,sd3,0.38666666666666666,0.36
cube-double-play__task1__sd4,cube-double-play,task1,sd4,0.4266666666666667,0.42
cube-double-play__task1__sd5,cube-double-play,task1,sd5,0.46,0.32
cube-double-play__task1__sd6,cube-double-play,task1,sd6,0.4466666666666666,0.38
cube-double-play__task1__sd7,cube-double-play,task1,sd7,0.43333333333333335,0.32
cube-double-play__task2__sd0,cube-double-play,task2,sd0,0.18666666666666668,0.14
cube-double-play__task2__sd1,cube-double-play,task2,sd1,0.2866666666666667,0.32
cube-double-play__task2__sd2,cube-double-play,task2,sd2,0.30666666666666664,0.26
cube-double-play__task2__sd3,cube-double-play,task2,sd3,0.3666666666666667,0.3
cube-double-play__task2__sd4,cube-double-play,task2,sd4,0.3066666666666667,0.24
cube-double-play__task2__sd5,cube-double-play,task2,sd5,0.29333333333333333,0.24
cube-double-play__task2__sd6,cube-double-play,task2,sd6,0.30666666666666664,0.3
cube-double-play__task2__sd7,cube-double-play,task2,sd7,0.21333333333333335,0.08
cube-double-play__task3__sd0,cube-double-play,task3,sd0,0.11333333333333334,0.06
cube-double-play__task3__sd1,cube-double-play,task3,sd1,0.06666666666666667,0.08
cube-double-play__task3__sd2,cube-double-play,task3,sd2,0.14,0.16
cube-double-play__task3__sd3,cube-double-play,task3,sd3,0.16,0.2
cube-double-play__task3__sd4,cube-double-play,task3,sd4,0.11333333333333333,0.06
cube-double-play__task3__sd5,cube-double-play,task3,sd5,0.10666666666666667,0.08
cube-double-play__task3__sd6,cube-double-play,task3,sd6,0.08666666666666667,0.02
cube-double-play__task3__sd7,cube-double-play,task3,sd7,0.16666666666666666,0.22
cube-double-play__task4__sd0,cube-double-play,task4,sd0,0.08666666666666667,0.12
cube-double-play__task4__sd1,cube-double-play,task4,sd1,0.04,0.04
cube-double-play__task4__sd2,cube-double-play,task4,sd2,0.02666666666666667,0.0
