training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
117.60774,0.21814871,4.4035473,0.36272764,-0.37632138,44.21045,-119.416405,-28.02515,-119.416405,-143.70284,-35.295708,-119.02174,-143.28844,124.19278,0.012083156037330628,120.83156847953796,10000
118.42822,0.22559993,4.537357,0.32845595,-0.30492392,35.447556,-119.28811,-10.743089,-119.28811,-146.07666,-15.959618,-119.21781,-144.6139,125.22157,0.011426194024085998,235.09351444244385,20000
125.28743,0.19514066,5.5717406,0.33608133,-0.45665383,45.118774,-126.28794,-37.935616,-126.28794,-149.56004,-40.195595,-125.28743,-148.87112,132.81058,0.01143050467967987,349.39856696128845,30000
126.70984,0.23605034,3.811199,0.5406067,-0.70277864,35.761234,-127.32583,-20.625172,-127.32583,-152.72635,-25.951447,-126.70984,-150.77007,132.88155,0.01121436116695404,461.54218673706055,40000
127.58612,0.21750969,3.2788682,0.52834105,-0.52395594,24.954544,-128.7457,-40.19205,-128.7457,-159.1217,-41.665466,-128.13068,-158.16907,133.04008,0.009498613595962524,556.5283298492432,50000
125.75488,0.1928776,2.5397594,0.61549985,-0.63257664,28.417646,-126.75674,-35.269547,-126.75674,-154.85736,-37.546684,-125.972534,-154.40857,130.22342,0.007810457038879394,634.6329045295715,60000
124.11499,0.21978068,2.7391922,0.2519959,-0.35703298,25.57959,-124.897514,2.8897212,-124.897514,-158.09969,-0.4519268,-124.11499,-156.20363,129.05199,0.007836712193489075,713.0000309944153,70000
122.62636,0.1923373,2.3571384,0.489536,-0.411715,30.636984,-125.04201,-6.9715705,-125.04201,-159.65727,-10.679803,-124.41715,-157.32513,126.90687,0.007346563386917114,786.4656710624695,80000
130.32605,0.19460228,3.681577,0.58431727,-0.638023,35.989418,-131.05603,4.4805317,-131.05603,-167.70398,-0.47508177,-130.32605,-162.37456,135.95366,0.007905574226379395,865.5214169025421,90000
129.10046,0.20231587,1.8813637,0.17807308,-0.18356438,15.767045,-130.21292,-8.429291,-130.21292,-167.5721,-11.378301,-129.10046,-166.47716,133.00499,0.007990249347686768,945.4239180088043,100000
132.0148,0.20908253,1.9980465,0.4504801,-0.4327919,23.225262,-132.44002,-36.12138,-132.44002,-175.69434,-40.154644,-132.0148,-175.28833,136.10367,0.008400423097610474,1029.4281618595123,110000
129.483,0.20901279,2.1013258,0.19979735,-0.25703186,18.758383,-130.24005,1.1932228,-130.24005,-173.27043,-1.0471016,-129.483,-172.46777,133.67445,0.00972558240890503,1126.6839938163757,120000
136.17874,0.20077987,2.8544621,0.38531384,-0.34807882,26.161383,-137.37878,-34.88598,-137.37878,-173.32835,-39.068504,-136.81123,-173.20932,141.041,0.009716783976554871,1223.851838350296,130000
136.1612,0.19799446,2.6285346,0.79050535,-0.85832167,21.236614,-136.85277,-27.599009,-136.85277,-184.53972,-21.498026,-136.1612,-184.14171,140.76968,0.009714309954643249,1320.9949417114258,140000
138.26007,0.21131022,1.9017051,0.20453185,-0.19458295,20.097519,-138.77132,-47.530037,-138.77132,-187.03049,-49.53904,-138.26007,-186.97739,142.27487,0.011201773738861083,1433.0126838684082,150000
138.00488,0.22360203,2.4169617,0.23824039,-0.22133285,19.657753,-139.1273,-45.322334,-139.1273,-186.35492,-48.34816,-138.55385,-185.23856,142.65787,0.010014141082763672,1533.1541004180908,160000
139.69376,0.18646564,2.848603,0.36488315,-0.33036077,23.180702,-141.3777,-37.609814,-141.3777,-183.37541,-33.8871,-140.21692,-182.77144,144.40701,0.009739218020439148,1630.546285867691,170000
