training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
42.98597,0.57327044,0.15594858,0.18375582,-0.12963869,3.6468194,-43.040493,-5.9188023,-43.040493,-47.197132,-6.216045,-42.98597,-47.173653,43.3139,0.010763493633270263,107.63494610786438,10000
73.20918,0.5068929,0.3859894,0.196181,-0.19995925,7.335676,-73.29563,-3.6162918,-73.29563,-82.274345,-4.4124637,-73.20918,-82.226074,73.74724,0.009728942608833313,204.92437958717346,20000
89.73294,0.5203695,0.6831344,0.3442613,-0.31274232,8.994469,-89.90356,-3.0256455,-89.90356,-109.246544,-4.603279,-89.73294,-109.22039,90.57219,0.009763477849960327,302.55916476249695,30000
94.1502,0.5168199,0.55218136,0.41614333,-0.76095724,15.350136,-94.31047,-3.4835405,-94.31047,-129.65973,-4.4111357,-94.1502,-129.6168,94.85743,0.009727439951896668,399.8335702419281,40000
100.93095,0.50125706,0.36122498,0.79458153,-0.47391698,10.210531,-101.086266,-1.7395089,-101.086266,-138.14804,-2.333863,-100.93095,-138.04427,101.44254,0.008293374943733216,482.76732563972473,50000
106.86049,0.4463305,0.33064255,0.2068795,-0.27173376,14.164921,-107.066765,0.06644681,-107.066765,-146.93959,-0.30011714,-106.86049,-146.84782,107.32503,0.007870844173431396,561.4757788181305,60000
108.05858,0.47876233,0.5005326,0.32211438,-0.8618792,15.623869,-108.199745,-1.4315753,-108.199745,-155.93169,-1.9259337,-108.05858,-155.88545,108.70274,0.00839514455795288,645.4272298812866,70000
114.23242,0.44194022,0.36846504,0.23503242,-0.4315917,7.8245792,-114.38494,-16.767313,-114.38494,-161.33151,-17.760323,-114.23242,-160.87427,114.73347,0.010398526954650879,749.4125030040741,80000
111.25874,0.45097694,0.3488225,0.5410696,-0.23222396,9.394271,-111.4226,0.5908306,-111.4226,-163.4651,0.16084471,-111.25874,-163.18973,111.74286,0.01144702353477478,863.8827428817749,90000
122.047585,0.46370757,0.29210407,0.246279,-0.25638384,6.561865,-122.19598,-13.833501,-122.19598,-168.36311,-14.298001,-122.047585,-168.19173,122.478806,0.011448581337928771,978.368560552597,100000
123.27542,0.48854357,0.25438437,0.34227645,-0.18275046,9.66981,-123.38332,-22.776926,-123.38332,-170.94319,-23.580793,-123.27542,-170.70349,123.67637,0.010804506206512451,1086.4136264324188,110000
126.55309,0.46998644,0.3437441,0.14275984,-0.1405213,9.231012,-126.70735,-23.079332,-126.70735,-174.35765,-25.8123,-126.55309,-174.18864,127.037834,0.00976842565536499,1184.0978875160217,120000
127.49488,0.46350408,0.26563662,0.14844492,-0.11322499,6.3872604,-127.58508,-0.70578814,-127.58508,-177.37274,-1.2466186,-127.49488,-177.26189,127.899574,0.00977471079826355,1281.844999074936,130000
127.61985,0.46851668,0.187678,0.20614631,-0.09518874,6.147969,-127.76965,-2.9238927,-127.76965,-177.91841,-4.087268,-127.61985,-177.80354,127.94808,0.009730201649665832,1379.1470201015472,140000
128.61536,0.4769879,0.24037705,0.20994085,-0.09538233,5.149932,-128.77464,0.75239176,-128.77464,-180.66232,-0.09494113,-128.61536,-180.51501,128.99883,0.00972886266708374,1476.4356501102448,150000
127.51976,0.4287892,0.23698421,0.11073659,-0.17485046,4.8308935,-127.63738,0.4411593,-127.63738,-183.2291,-0.8003467,-127.51976,-183.0999,127.88538,0.009735436391830445,1573.7900183200836,160000
131.2042,0.43953598,0.28071904,0.29479456,-0.5661644,8.911836,-131.31938,-5.243751,-131.31938,-183.84427,-7.7071915,-131.2042,-183.70845,131.61678,0.009732901811599732,1671.119041442871,170000
132.90297,0.4368801,0.22938767,0.23409271,-0.1928715,7.499821,-133.04427,0.06539035,-133.04427,-186.46886,-0.64077646,-132.90297,-186.3407,133.26341,0.00973370430469513,1768.4560942649841,180000
135.5397,0.4497528,0.24912949,0.19590616,-0.36504534,5.4842844,-135.69963,0.97599447,-135.69963,-187.2554,0.044918478,-135.5397,-187.00645,135.92377,0.00973230037689209,1865.7791032791138,190000
144.21858,0.42243326,0.23534384,0.11738564,-0.1924476,6.218641,-144.31932,-10.196224,-144.31932,-186.34967,-11.417963,-144.21858,-186.25336,144.58064,0.00973502824306488,1963.1293907165527,200000
138.1276,0.4297043,0.30171117,0.2103342,-0.19456819,5.9265895,-138.21367,-1.4647622,-138.21367,-188.21773,-2.8214252,-138.1276,-188.11597,138.55821,0.009923785758018494,2062.3672530651093,210000
140.08539,0.44417918,0.2157384,0.1564082,-0.15571365,4.8373637,-140.17981,-0.7878375,-140.17981,-189.90186,-1.2622623,-140.08539,-189.71738,140.43439,0.011391677355766296,2176.2840304374695,220000
138.43472,0.43861818,0.32558239,0.29712918,-0.18442239,8.143126,-138.54863,-1.3958075,-138.54863,-191.38467,-2.023649,-138.43472,-191.18295,138.89189,0.011394439649581908,2290.2284314632416,230000
145.75766,0.44195166,0.2239573,0.22822958,-0.15210935,6.5425463,-145.88228,-26.637484,-145.88228,-190.97556,-28.418638,-145.75766,-190.83264,146.1142,0.011392971205711365,2404.1581542491913,240000
138.53317,0.39268118,0.2511855,0.14743371,-0.2646772,7.631632,-138.6168,-1.303031,-138.6168,-193.09885,-2.942818,-138.53317,-192.94771,138.90216,0.011393046712875367,2518.0886261463165,250000
141.94572,0.42594147,0.23064175,0.29988417,-0.31565747,8.059239,-142.101,0.821085,-142.101,-193.34734,-0.3628938,-141.94572,-193.21307,142.30414,0.01139448299407959,2632.033461332321,260000
144.10771,0.44971058,0.8311459,3.8603017,-1.272535,29.320683,-144.2198,-4.561896,-144.2198,-194.00475,-18.179256,-144.10771,-193.85008,145.07378,0.011389541745185852,2745.92888379097,270000
143.21696,0.41384754,0.29847357,0.3126486,-0.23985286,6.991208,-143.32172,-11.801398,-143.32172,-195.0127,-12.386431,-143.21696,-194.84058,143.6396,0.01139300775527954,2859.8589656352997,280000
142.972,0.4015311,0.22182563,0.39581713,-0.24170779,6.6215143,-143.06323,-14.178059,-143.06323,-194.93333,-16.475985,-142.972,-194.77628,143.31429,0.011409491944313049,2973.9538938999176,290000
