training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
47.75363,0.57011735,0.022028446,0.028273076,-0.027185995,1.9092329,-47.754314,-6.037132,-47.754314,-48.084652,-6.761824,-47.75363,-48.046627,47.946697,0.009034451866149902,90.34452891349792,10000
81.069595,0.50285566,0.18763451,0.16504803,-0.14018443,6.463898,-81.08923,-7.9263387,-81.08923,-82.74458,-8.438536,-81.069595,-82.677505,81.40809,0.008124097514152526,171.58551216125488,20000
98.51846,0.5100968,1.5107844,0.48568732,-0.53100115,15.399292,-98.696556,-2.5965638,-98.696556,-108.874695,-2.9677947,-98.51846,-108.85298,100.18228,0.009669993543624878,268.28545784950256,30000
88.1705,0.59551007,0.95954984,0.27299815,-0.34415087,30.142214,-88.67431,-7.9958825,-88.67431,-128.94237,-10.211687,-88.1705,-128.86946,89.3087,0.009707861065864564,365.3640806674957,40000
86.47816,0.47704956,0.22684956,0.1592561,-0.077571265,4.3142967,-86.59037,-0.88410187,-86.59037,-113.12748,-1.8159695,-86.47816,-112.84407,86.84812,0.0096689040184021,462.05313372612,50000
95.45274,0.50596327,0.267807,0.24170318,-0.09663158,6.246889,-95.598854,-2.5333874,-95.598854,-120.58351,-5.9409385,-95.45274,-120.25112,95.87234,0.009635200119018555,558.4051465988159,60000
98.98158,0.5042058,0.4952483,0.19156027,-0.69155747,17.027008,-99.21728,-5.4766564,-99.21728,-130.67828,-6.8236704,-98.98158,-130.54257,99.62809,0.009762551832199097,656.0306754112244,70000
96.911224,0.50578415,0.29639304,0.4988196,-0.5431317,7.1553936,-97.01559,1.2171874,-97.01559,-131.33467,0.7593455,-96.911224,-131.02592,97.35935,0.011325941133499145,769.2901029586792,80000
101.302635,0.48824638,0.30445078,0.09104588,-0.11518573,5.6239963,-101.517136,0.022375733,-101.517136,-135.45023,-0.657729,-101.302635,-135.28024,101.75356,0.011325833582878113,882.5484471321106,90000
100.64691,0.46435127,0.60172266,1.9970306,-0.5491359,17.403927,-100.843285,-0.24060865,-100.843285,-141.50108,-8.997381,-100.64691,-141.44002,101.38794,0.011326171493530273,995.8101799488068,100000
